timestamp,B_C2H6,B_C3H8,B_iC4H10,B_nC4H10
2020-05-01 00:00:00,5.005460303812614,36.53498867153116,16.488634512588987,23.656546066966996
2020-05-01 00:30:00,4.844661658534094,36.56001822699524,16.48969845209758,23.665169608497074
2020-05-01 01:00:00,4.748409301724663,36.638714040450544,16.51751235074635,23.68188204025975
2020-05-01 01:30:00,4.718338697737987,36.74023240907308,16.526229871099275,23.66752431706287
2020-05-01 02:00:00,4.641491613092752,36.753553935750695,16.51841112711664,23.653819438012604
2020-05-01 02:30:00,4.5499806445505,36.79165122863962,16.540032283670268,23.678769224009535
2020-05-01 03:00:00,4.480115383143276,36.78585578533405,16.53902307582383,23.68275511068958
2020-05-01 03:30:00,4.420607025442162,36.75425584124496,16.534455581740225,23.68467962232772
2020-05-01 04:00:00,4.331726854257016,36.684303281859705,16.51772465228954,23.686398745982807
2020-05-01 04:30:00,4.307666802083524,36.61898066733467,16.510582576711435,23.683678253742865
2020-05-01 05:00:00,4.310374115466475,36.6011255362587,16.51755385136884,23.69657668047603
2020-05-01 05:30:00,4.289274341818843,36.59766430609932,16.538235184068448,23.73053866700785
2020-05-01 06:00:00,4.2700630934109,36.582484579931105,16.554858180672063,23.759751284695987
2020-05-01 06:30:00,4.25752848180613,36.546253338928395,16.542469009537864,23.75439128176034
2020-05-01 07:00:00,4.201625512811623,36.37181366061186,16.496372132838697,23.730406986791145
2020-05-01 07:30:00,4.101949980556286,36.09377092999326,16.446345226769896,23.71801751336513
2020-05-01 08:00:00,4.122215121979871,36.1791747229433,16.494030333311354,23.735630579744893
2020-05-01 08:30:00,4.185890271447775,36.33478947554172,16.531254413260616,23.741731779069024
2020-05-01 09:00:00,4.250496165695846,36.445549867975906,16.54865678165951,23.74685626766628
2020-05-01 09:30:00,4.249933047215522,36.462760723637174,16.54364237396875,23.75125776860656
2020-05-01 10:00:00,4.269399855880905,36.50334383661594,16.548606087715342,23.75814719492785
2020-05-01 10:30:00,4.287405813161621,36.503919224784646,16.552199693914243,23.76449389428974
2020-05-01 11:00:00,4.280073159307443,36.48970338184843,16.563809058304727,23.79189373729754
2020-05-01 11:30:00,4.290589400067502,36.48795659782609,16.585569059757454,23.828442447603596
2020-05-01 12:00:00,4.288015656548293,36.454207787586334,16.5772678234461,23.833552711243538
2020-05-01 12:30:00,4.299782680330637,36.49072237987803,16.6002297210668,23.859906114559024
2020-05-01 13:00:00,4.368018482080972,36.58030638034998,16.625563233840843,23.864040135696175
2020-05-01 13:30:00,4.3577136293433405,36.562157088626954,16.61316092755617,23.863308932693997
2020-05-01 14:00:00,4.391410784999401,36.56377799775756,16.601106450414317,23.838415229688774
2020-05-01 14:30:00,4.40086760070569,36.557739307724255,16.60038293474174,23.839159958687336
2020-05-01 15:00:00,4.424308714893648,36.53823870449098,16.583410662638048,23.818020487980856
2020-05-01 15:30:00,4.431436569389087,36.497719533280005,16.55751527074295,23.79055286383977
2020-05-01 16:00:00,4.45499428523311,36.498728256144965,16.554124745704723,23.77787463554668
2020-05-01 16:30:00,4.4614272455640585,36.48197097391149,16.551025955700933,23.770930563398377
2020-05-01 17:00:00,4.3696720215254725,36.40781190315478,16.530302336461133,23.782596847809767
2020-05-01 17:30:00,4.193857364591328,36.35673418307551,16.52421479863099,23.81425682377743
2020-05-01 18:00:00,4.341087182803381,36.32334916011911,16.508993420447695,23.78096150172279
2020-05-01 18:30:00,4.443189255818113,36.33631451099541,16.492979187531382,23.742180680310703
2020-05-01 19:00:00,4.528871681106108,36.36872693125816,16.479983921349532,23.699485981227557
2020-05-01 19:30:00,4.542629841220182,36.390809453568934,16.479624049048173,23.68556744087545
2020-05-01 20:00:00,4.5387147078377,36.42337847547208,16.48057498423441,23.673070660872693
